,Headlines,URL
0,"Labor Market Solid With 199,000 Jobs Added in November",https://www.ttnews.com/articles/labor-market-jobs-november
1,Board Proposes Adding Fentanyl to Driversâ€™ Drug Testing List,https://www.ttnews.com/articles/fentanyl-drivers-drug-testing
2,"House Panel Advances PIPES Act, Targeting Pipeline Safety",https://www.ttnews.com/articles/house-panel-pipes-act-safety
3,House GOP Votes to Block EPA Tailpipe Emissions Rule,https://www.ttnews.com/articles/house-gop-epa-emissions
4,US-Mexico Trade Trends Indicate Nearshoring Has Momentum,https://www.ttnews.com/articles/nearshoring-has-momentum
5,Senate Commerce Committee Approves NTSB Nominee Inman,https://www.ttnews.com/articles/senate-commerce-ntsb-inman
6,Stellantis Petitions to Void California Emissions Agreement,https://www.ttnews.com/articles/stellantis-calif-emissions
7,Vermont Lowers Cost of Milk Hauler Overweight Permits,https://www.ttnews.com/articles/vermont-costs-milk-hauler
8,FMCSA Proposes DataQs Appeal Process,https://www.ttnews.com/articles/fmcsa-dataqs-appeal-process
9,Michigan Government Vehicle Fleet Going All-Electric by 2040,https://www.ttnews.com/articles/michigan-fleet-all-electric
10,Axle Logistics Invests $37.9 Million to Expand in Tennessee,https://www.ttnews.com/articles/axle-logistics-tennessee
11,NTSB Calls for California Shipping Fix After 2021 Oil Spill,https://www.ttnews.com/articles/ntsb-california-shipping-spill
12,Unprecedented US Exports Are Weighing on Global Crude Market,https://www.ttnews.com/articles/us-exports-global-crude
13,California-based Logistics Company Expands in South Carolina,https://www.ttnews.com/articles/ironlink-logistics-sc
14,Global Fossil Fuels Emissions to Hit Record Peak in 2023,https://www.ttnews.com/articles/fossil-fuels-emissions-2023
15,USDOT Announces $1.5 Billion in Infrastructure Grants,https://www.ttnews.com/articles/usdot-infrastructure-grants
16,Hydrogen Industry Raises Alarm Over Leaked Tax Credit Rules,https://www.ttnews.com/articles/hydrogen-leaked-tax-credit
17,Diesel Price Falls to $4.092 in Sixth Consecutive Drop,https://www.ttnews.com/articles/diesel-price-down-sixth-week
18,Cruise Could Face Fines for Allegedly Misleading Regulators,https://www.ttnews.com/articles/cruise-fines-misleading
19,Georgia Officials Laud Plastic Express Expansion Near Port,https://www.ttnews.com/articles/georgia-plastic-express
20,Daily Briefings from Transport Topics,https://www.ttnews.com/listen
21,Virginia Wins $59.9 Million Logistics Expansion in Norfolk,https://www.ttnews.com/articles/virginia-logistics-norfolk
22,Illinois 3 Connector Plan Gets Mixed Reception for Freight,https://www.ttnews.com/articles/illinois-3-connector-plan
23,"To Strengthen Freight Connectivity, DOT Goes With the FLOW",https://www.ttnews.com/articles/freight-logistics-optimization
24,Strategic Oil Reserve Refill Is Limited Despite Low Prices,https://www.ttnews.com/articles/oil-reserve-refill-limited
25,US Announces New Emissions-Curbing Methane Rule at COP28,https://www.ttnews.com/articles/us-emissions-methane-cop28
26,BMW Recalls SUVs Over Air Bag Explosion Risk,https://www.ttnews.com/articles/bmw-recall-suvs-air-bag
27,"Strike Cost Ford 100,000 Vehicle Sales, $1.7 Billion in Profits",https://www.ttnews.com/articles/strike-cost-ford-sales
28,Silicon-Focused Battery Startup NanoGraf to Open Chicago Plant,https://www.ttnews.com/articles/nanograf-chicago-silicon
29,Proposed EV Tax Rules Could Make Full Credit Harder to Get,https://www.ttnews.com/articles/ev-tax-credit-rules-biden
30,Torc Lays Out Road Map to Autonomous Truck Launch in 2027,https://www.ttnews.com/videos/torc-lays-out-road-map-autonomous-truck-launch-2027
31,Daily Briefings from Transport Topics,https://www.ttnews.com/listen
32,Meeting Enterprise Demands At The Speed of 5G,https://www.ttnews.com/webinar/meeting-enterprise-demands-speed-5g
33,SECURE - Learning Sessions for Technology and Operations Executives,https://www.ttnews.com/ttmes/secure
34,Omnitracs Sues Motive Technologies for Patent Infringement,https://www.ttnews.com/articles/omnitracs-lawsuit-motive
35,Teslaâ€™s Dojo Supercomputer Head Exits in Blow to Efforts,https://www.ttnews.com/articles/tesla-dojo-head-exits
36,Using Technology to Solve Truckingâ€™s Top Industry Issues,https://www.ttnews.com/webinar/using-technology-solve-truckings-top-industry-issues-0
37,House GOP Votes to Block EPA Tailpipe Emissions Rule,https://www.ttnews.com/articles/house-gop-epa-emissions
38,Stellantis Petitions to Void California Emissions Agreement,https://www.ttnews.com/articles/stellantis-calif-emissions
39,Renault Taps AI to Cut EV Production Costs in Half by 2027,https://www.ttnews.com/articles/renault-ai-ev-production
40,Uber Freight and Torc Robotics Form Partnership on Autonomous Trucks,https://www.ttnews.com/articles/torc-uber-freight-autonomous
41,Recruiting and Retaining Drivers Remains a Challenge,https://www.ttnews.com/articles/retaining-drivers-challenge
42,Daily Briefings from Transport Topics,https://www.ttnews.com/listen
43,Michigan Government Vehicle Fleet Going All-Electric by 2040,https://www.ttnews.com/articles/michigan-fleet-all-electric
44,"TuSimple to Wind Down US Operations, Lay Off 150 Employees",https://www.ttnews.com/articles/tusimple-lay-off-150-us-staff
45,Nissan to Buy Parts From Renault-Geely Venture,https://www.ttnews.com/articles/nissan-parts-renault-geely
46,"Pilotless FedEx, Reliable Robotics Plane Completes Flight",https://www.ttnews.com/articles/pilotless-fedex-plane
47,GXO Logistics Testing Humanoid Robot at Georgia Facility,https://www.ttnews.com/articles/gxo-logistics-robot-georgia
48,60 Seconds: Cameras Help Reduce Liability in Trucking,https://www.ttnews.com/videos/60-seconds-cameras-help-reduce-liability-trucking
49,Danish Union Takes Action Against Tesla in Nordic Solidarity,https://www.ttnews.com/articles/danish-union-tesla-nordic
50,Hydrogen Industry Raises Alarm Over Leaked Tax Credit Rules,https://www.ttnews.com/articles/hydrogen-leaked-tax-credit
51,"GMâ€™s All-Electric Pledge Hinges on Demand, CEO Barra Says",https://www.ttnews.com/articles/gm-electric-pledge-demand
52,How Drivers & Fleets Are Adopting In-Cab Technology,https://www.ttnews.com/newsmakers/how-drivers-fleets-adopting-in-cab-technology
53,Daily Briefings from Transport Topics,https://www.ttnews.com/listen
54,Cruise Could Face Fines for Allegedly Misleading Regulators,https://www.ttnews.com/articles/cruise-fines-misleading
55,Silicon-Focused Battery Startup NanoGraf to Open Chicago Plant,https://www.ttnews.com/articles/nanograf-chicago-silicon
56,Proposed EV Tax Rules Could Make Full Credit Harder to Get,https://www.ttnews.com/articles/ev-tax-credit-rules-biden
57,Update: XPO Spends $870 Million for Yellow Properties,https://www.ttnews.com/videos/update-xpo-spends-870-million-yellow-properties
58,Breaking: Brad Jacobs' Bold Billion Dollar Move,https://www.ttnews.com/videos/breaking-brad-jacobs-bold-billion-dollar-move
59,FMCSA Warning: Drivers Who Drug-Test Positive Will Lose CDLs,https://www.ttnews.com/videos/fmcsa-warning-drivers-who-drug-test-positive-will-lose-cdls
60,Meeting Enterprise Demands At The Speed of 5G,https://www.ttnews.com/webinar/meeting-enterprise-demands-speed-5g
61,SECURE - Learning Sessions for Technology and Operations Executives,https://www.ttnews.com/ttmes/secure
62,DHL Express Workers Strike at Cincinnati Air Cargo Hub,https://www.ttnews.com/articles/dhl-express-strike-cincinnati
63,Transport Topics Radio,https://www.ttnews.com/transport-topics-radio
64,"Labor Market Solid With 199,000 Jobs Added in November",https://www.ttnews.com/articles/labor-market-jobs-november
65,Dark Horse Bidder Makes Second Offer for Yellow Assets,https://www.ttnews.com/articles/yellow-rejects-revival-bid
66,"Frank Lonegro Named CEO at Landstar, Succeeding Jim Gattoni",https://www.ttnews.com/articles/frank-lonegro-ceo-landstar
67,Omnitracs Sues Motive Technologies for Patent Infringement,https://www.ttnews.com/articles/omnitracs-lawsuit-motive
68,EDI for Trucking: Everything You Need to Know,https://www.ttnews.com/articles/edi-trucking
69,Teslaâ€™s Dojo Supercomputer Head Exits in Blow to Efforts,https://www.ttnews.com/articles/tesla-dojo-head-exits
70,Ryder Reveals First Two Companies in EV Fleet Program,https://www.ttnews.com/articles/ryder-two-companies-ev-fleet
71,Board Proposes Adding Fentanyl to Driversâ€™ Drug Testing List,https://www.ttnews.com/articles/fentanyl-drivers-drug-testing
72,Using Technology to Solve Truckingâ€™s Top Industry Issues,https://www.ttnews.com/webinar/using-technology-solve-truckings-top-industry-issues-0
73,US-Mexico Trade Trends Indicate Nearshoring Has Momentum,https://www.ttnews.com/articles/nearshoring-has-momentum
74,November Class 8 Orders Rebound From Three-Month Slump,https://www.ttnews.com/articles/november-class-8-orders
75,Renault Taps AI to Cut EV Production Costs in Half by 2027,https://www.ttnews.com/articles/renault-ai-ev-production
76,Uber Freight and Torc Robotics Form Partnership on Autonomous Trucks,https://www.ttnews.com/articles/torc-uber-freight-autonomous
77,Vermont Lowers Cost of Milk Hauler Overweight Permits,https://www.ttnews.com/articles/vermont-costs-milk-hauler
78,QuickBooks for Trucking: Connecting QuickBooks to Your TMS,https://www.ttnews.com/articles/quickbooks-trucking
79,Recruiting and Retaining Drivers Remains a Challenge,https://www.ttnews.com/articles/retaining-drivers-challenge
80,Axle Logistics Invests $37.9 Million to Expand in Tennessee,https://www.ttnews.com/articles/axle-logistics-tennessee
81,"TuSimple to Wind Down US Operations, Lay Off 150 Employees",https://www.ttnews.com/articles/tusimple-lay-off-150-us-staff
82,"Allison Transmission Workers Reject Labor Deal, Stay on Job",https://www.ttnews.com/articles/allison-transmission-labor
83,Nissan to Buy Parts From Renault-Geely Venture,https://www.ttnews.com/articles/nissan-parts-renault-geely
84,"Pilotless FedEx, Reliable Robotics Plane Completes Flight",https://www.ttnews.com/articles/pilotless-fedex-plane
85,GXO Logistics Testing Humanoid Robot at Georgia Facility,https://www.ttnews.com/articles/gxo-logistics-robot-georgia
86,California-based Logistics Company Expands in South Carolina,https://www.ttnews.com/articles/ironlink-logistics-sc
87,XPO In Line for 28 Yellow Properties for $870 Million,https://www.ttnews.com/articles/xpo-yellow-terminal-auction
88,60 Seconds: Cameras Help Reduce Liability in Trucking,https://www.ttnews.com/videos/60-seconds-cameras-help-reduce-liability-trucking
89,Infographic: Ryderâ€™s Foundation for a Successful Freight Brokerage,https://www.ttnews.com/articles/infographic-ryders-foundation-successful-freight-brokerage
90,USDOT Announces $1.5 Billion in Infrastructure Grants,https://www.ttnews.com/articles/usdot-infrastructure-grants
91,Danish Union Takes Action Against Tesla in Nordic Solidarity,https://www.ttnews.com/articles/danish-union-tesla-nordic
92,Hydrogen Industry Raises Alarm Over Leaked Tax Credit Rules,https://www.ttnews.com/articles/hydrogen-leaked-tax-credit
93,"GMâ€™s All-Electric Pledge Hinges on Demand, CEO Barra Says",https://www.ttnews.com/articles/gm-electric-pledge-demand
94,How Drivers & Fleets Are Adopting In-Cab Technology,https://www.ttnews.com/newsmakers/how-drivers-fleets-adopting-in-cab-technology
95,Diesel Price Falls to $4.092 in Sixth Consecutive Drop,https://www.ttnews.com/articles/diesel-price-down-sixth-week
96,Cruise Could Face Fines for Allegedly Misleading Regulators,https://www.ttnews.com/articles/cruise-fines-misleading
97,Georgia Officials Laud Plastic Express Expansion Near Port,https://www.ttnews.com/articles/georgia-plastic-express
98,Virginia Wins $59.9 Million Logistics Expansion in Norfolk,https://www.ttnews.com/articles/virginia-logistics-norfolk
99,Illinois 3 Connector Plan Gets Mixed Reception for Freight,https://www.ttnews.com/articles/illinois-3-connector-plan
100,QuickBooks for Trucking: Connecting QuickBooks to Your TMS,https://www.ttnews.com/articles/quickbooks-trucking
101,"To Strengthen Freight Connectivity, DOT Goes With the FLOW",https://www.ttnews.com/articles/freight-logistics-optimization
102,Canada Cartage Acquires GTI Group,https://www.ttnews.com/articles/canada-cartage-gti-group
103,XPO Founder Brad Jacobs Readies $1 Billion Acquisition Firm,https://www.ttnews.com/articles/xpo-brad-jacobs-new-firm
104,BMW Recalls SUVs Over Air Bag Explosion Risk,https://www.ttnews.com/articles/bmw-recall-suvs-air-bag
105,"Strike Cost Ford 100,000 Vehicle Sales, $1.7 Billion in Profits",https://www.ttnews.com/articles/strike-cost-ford-sales
106,Silicon-Focused Battery Startup NanoGraf to Open Chicago Plant,https://www.ttnews.com/articles/nanograf-chicago-silicon
107,Proposed EV Tax Rules Could Make Full Credit Harder to Get,https://www.ttnews.com/articles/ev-tax-credit-rules-biden
